,LATITUD,LONGITUD
0,-102.0,-120.0
1,19.8947099,-100.4618939
2,19.4166522,-102.0515087
3,19.4964160249747,-101.598903352809
4,20.5342333,-100.4394317
5,19.7482674,-101.2104871
6,19.4331387336472,-100.345675834732
7,-101.804583,-101.804583
8,-101.1860536,-101.1860536
9,-102.3444727,-102.3444727
10,-101.8650406,-101.8650406
11,-100.1993757,-100.1993757
12,-101.7314413,-101.7314413
14,-101.1503947,-101.1503947
15,-102.0124731,-102.0124731
16,-102.3727555,-102.3727555
17,-101.634404,-101.634404
18,-100.423211924611,-100.423211924611
19,-101.1802528,-101.1802528
20,-101.3471,-101.3471
22,-100.455906,-100.455906
23,-100.4397587,-100.4397587
24,-100.685314,-100.685314
25,-102.3175464,-102.3175464
29,-101.199053,-101.199053
30,-101.5146453,-101.5146453
31,-102.3702042,-102.3702042
33,-102.0348746,-102.0348746
34,-101.2486597,-101.2486597
35,-101.06466366446,-101.06466366446
37,-100.4102468,-100.4102468
38,-100.3579234,-100.3579234
39,-100.4449064,-100.4449064
40,-99.1609069,-99.1609069
41,-101.2137449,-101.2137449
42,-101.1383687,-101.1383687
44,-98.2246633,-98.2246633
49,-101.1771021,-101.1771021
50,-100.9793081,-100.9793081
51,-100.1312689,-100.1312689
52,-101.1397999,-101.1397999
54,-102.068019091612,-102.068019091612
58,-99.9150344,-99.9150344
60,-101.1410705,-101.1410705
63,-100.821539,-100.821539
64,-102.0534674,-102.0534674
67,-101.2507599,-101.2507599
69,-100.3940485,-100.3940485
70,-101.1968901,-101.1968901
71,-98.4420532,-98.4420532
72,-101.2257047,-101.2257047
73,-100.4094888,-100.4094888
76,-101.1656773,-101.1656773
81,-101.1754609,-101.1754609
82,-100.4328519,-100.4328519
83,-101.22743,-101.22743
85,-101.1272998,-101.1272998
86,-101.2291273,-101.2291273
87,-101.5188294,-101.5188294
90,-101.5794133,-101.5794133
91,-101.1835183,-101.1835183
92,-100.4759697,-100.4759697
94,-99.340919,-99.340919
96,-98.1585085,-98.1585085
101,-101.6129467,-101.6129467
102,-100.638642944472,-100.638642944472
104,-102.2347378,-102.2347378
106,-102.3910123,-102.3910123
107,-100.4626423,-100.4626423
109,-101.225511535097,-101.225511535097
111,-101.1901622,-101.1901622
113,-100.3604555,-100.3604555
115,-102.356075390548,-102.356075390548
117,-102.4642754,-102.4642754
118,-101.2401432,-101.2401432
119,-101.2057002,-101.2057002
120,-101.9292735,-101.9292735
121,-101.169666,-101.169666
122,-102.1308835,-102.1308835
124,-101.7878011,-101.7878011
125,-101.9504086,-101.9504086
126,-100.3355804,-100.3355804
129,-102.6186782,-102.6186782
130,-100.3587972,-100.3587972
131,-101.1663313,-101.1663313
133,-100.7203526,-100.7203526
134,-100.2386803,-100.2386803
135,-101.2178744,-101.2178744
136,-102.0425125,-102.0425125
137,-101.1690364,-101.1690364
138,-99.9128193935532,-99.9128193935532
140,-100.22360315637,-100.22360315637
141,-101.2963517,-101.2963517
142,-100.4604919,-100.4604919
143,-98.1879824,-98.1879824
145,-101.2014695,-101.2014695
146,-100.3994507,-100.3994507
147,-102.3026799,-102.3026799
148,-100.4147092,-100.4147092
149,-101.5245091,-101.5245091
151,-98.2237032,-98.2237032
153,-102.0936046,-102.0936046
154,-101.451466,-101.451466
155,-89.5751026,-89.5751026
156,-100.4591161,-100.4591161
157,-100.4615182,-100.4615182
158,-100.8929568,-100.8929568
159,-98.1563706,-98.1563706
160,-98.1947962,-98.1947962
162,-101.1695808,-101.1695808
163,-101.0004265,-101.0004265
165,-101.5119929,-101.5119929
168,-102.0327223,-102.0327223
169,-101.6305652,-101.6305652
171,-102.1164242,-102.1164242
177,-101.9297324,-101.9297324
180,-100.3604915,-100.3604915
181,-101.1454693,-101.1454693
182,-101.0535423,-101.0535423
184,-100.4651801,-100.4651801
185,-101.2533543,-101.2533543
186,-101.2253374,-101.2253374
187,-102.5152893,-102.5152893
190,-101.2149448,-101.2149448
191,-102.0466987,-102.0466987
192,-101.2341812,-101.2341812
193,-100.808755,-100.808755
194,-100.4461078,-100.4461078
196,-100.4059091,-100.4059091
197,-100.4341413,-100.4341413
198,-101.4555072,-101.4555072
200,-101.2155434,-101.2155434
201,-101.6088337,-101.6088337
202,-101.1759003,-101.1759003
203,-100.893063,-100.893063
206,-101.1998646,-101.1998646
207,-101.6547128,-101.6547128
209,-102.026299982038,-102.026299982038
211,-102.0636143,-102.0636143
213,-98.194786,-98.194786
214,-100.4339609,-100.4339609
215,-98.216635,-98.216635
216,-101.1768386,-101.1768386
218,-100.4384228,-100.4384228
219,-100.7440029,-100.7440029
220,-101.1257234,-101.1257234
221,-101.6405077,-101.6405077
223,-99.2232299,-99.2232299
224,-101.457879,-101.457879
225,-101.1582279,-101.1582279
227,-100.4504648,-100.4504648
228,-101.2429289,-101.2429289
229,-100.3384987,-100.3384987
230,-100.8972537,-100.8972537
232,-100.3531781,-100.3531781
233,-100.4855597,-100.4855597
235,-101.6504717,-101.6504717
237,-101.2139811,-101.2139811
239,-100.4419603,-100.4419603
240,-116.8558063,-116.8558063
241,-99.9046106,-99.9046106
242,-101.6485105,-101.6485105
244,-100.5606986,-100.5606986
247,-99.9132175,-99.9132175
250,-101.1300781,-101.1300781
251,-100.4067053,-100.4067053
252,-101.6975639,-101.6975639
255,-100.3554357,-100.3554357
256,-98.2802019,-98.2802019
258,-100.8074851,-100.8074851
260,-101.2003476,-101.2003476
263,-101.2358256,-101.2358256
264,-102.223941,-102.223941
265,-101.1883983,-101.1883983
336,19.4963216601894,-101.599094187443
337,-100.4559043,-100.4559043
338,-101.3471,-101.3471
339,-100.4449064,-100.4449064
341,-89.584419,-89.584419
342,-101.4555072,-101.4555072
344,-100.7459986,-100.7459986
346,20.0890626963188,-101.514334787752
347,20.089109796118,-101.514425743465
348,20.1314362,-101.189797
349,19.4774774774774,-100.336593437711
350,19.9409417,-100.3223667
351,20.509179,-100.8187286
352,20.0926485640625,-101.523304406733
353,20.0888575679754,-101.514323519467
354,20.0890367987653,-101.514329798067
355,19.1645114,-101.9140235
356,20.5466500034502,-100.414032509613
357,20.5464762054778,-100.4142321554
358,20.5465183609371,-100.414253779505
359,20.5464145711013,-100.41414375499
360,20.5450623580137,-100.415535993698
361,20.5450363859877,-100.415507996413
362,20.5451580797977,-100.415395615511
363,20.5447362316882,-100.415950903366
364,20.5447349231844,-100.415659658704
365,20.6503936,-103.3699328
366,19.7823749,-101.1334413
367,19.6673536,-101.3776384
368,19.6950951,-100.585186
369,19.334891302376,-101.917498154159
370,19.3348917084189,-101.917498861414
371,19.4408307,-100.3596798
372,19.8947249,-100.4619144
373,19.894726,-100.4619132
374,19.707092,-101.1929236
375,19.7857495,-101.1350573
376,19.6713873,-101.3747047
377,20.6536704,-103.3568256
378,19.4393166,-100.0026605
379,19.6836822,-100.547942
380,19.4166704,-102.0515095
381,19.4166574,-102.0515212
382,19.4166425,-102.0515146
383,19.4322929,-102.0563803
384,19.4337847,-102.0579356
385,19.6961253,-101.2890694
386,19.1645108,-101.9140245
387,19.1645105,-101.9140259
388,19.6449813733261,-101.23865024814
389,19.6449999320155,-101.238667866397
390,19.6450168813954,-101.238607023894
391,46.4160018,-120.0366727
392,19.3515193,-102.0691683
393,19.695936,-101.162647
394,19.4963216601894,-101.599094187443
395,20.5885347,-100.3360955
396,20.5885101,-100.3361216
397,19.764408,-101.1029188
398,19.6223009,-100.4818827
399,19.701973,-101.2899448
400,19.6450564574119,-101.238603262394
401,19.6450071201789,-101.238728356554
402,19.332449,-100.4274727
403,19.3324458,-100.4274696
404,19.7003896,-101.2131915
405,19.7003844,-101.213204
406,20.692992,-103.3240576
407,20.5608403,-100.4959481
408,20.5342465,-100.4393807
409,20.5342333,-100.4394317
410,20.5342417,-100.4394217
411,19.6922302199992,-101.170471190001
412,19.6922301859774,-101.170471241183
413,19.7660813137246,-101.125951188515
414,19.765894717445,-101.125840921029
