,FECHA,FRECUENCIA
0,2023-08-08,3
1,2023-08-09,4
2,2023-08-10,1
3,2023-08-11,1
4,2023-08-12,0
5,2023-08-13,0
6,2023-08-14,0
7,2023-08-15,0
8,2023-08-16,0
9,2023-08-17,0
10,2023-08-18,0
11,2023-08-19,0
12,2023-08-20,0
13,2023-08-21,0
14,2023-08-22,0
15,2023-08-23,0
16,2023-08-24,0
17,2023-08-25,0
18,2023-08-26,0
19,2023-08-27,0
20,2023-08-28,0
21,2023-08-29,0
22,2023-08-30,0
23,2023-08-31,0
24,2023-09-01,1
25,2023-09-02,0
26,2023-09-03,0
27,2023-09-04,0
28,2023-09-05,0
29,2023-09-06,0
30,2023-09-07,0
31,2023-09-08,0
32,2023-09-09,0
33,2023-09-10,0
34,2023-09-11,0
35,2023-09-12,0
36,2023-09-13,0
37,2023-09-14,0
38,2023-09-15,0
39,2023-09-16,0
40,2023-09-17,0
41,2023-09-18,0
42,2023-09-19,0
43,2023-09-20,0
44,2023-09-21,0
45,2023-09-22,0
46,2023-09-23,0
47,2023-09-24,0
48,2023-09-25,0
49,2023-09-26,0
50,2023-09-27,0
51,2023-09-28,0
52,2023-09-29,0
53,2023-09-30,0
54,2023-10-01,0
55,2023-10-02,0
56,2023-10-03,0
57,2023-10-04,0
58,2023-10-05,0
59,2023-10-06,0
60,2023-10-07,0
61,2023-10-08,0
62,2023-10-09,0
63,2023-10-10,0
64,2023-10-11,0
65,2023-10-12,1
66,2023-10-13,0
67,2023-10-14,0
68,2023-10-15,0
69,2023-10-16,0
70,2023-10-17,0
71,2023-10-18,0
72,2023-10-19,0
73,2023-10-20,0
74,2023-10-21,0
75,2023-10-22,0
76,2023-10-23,0
77,2023-10-24,0
78,2023-10-25,0
79,2023-10-26,0
80,2023-10-27,0
81,2023-10-28,0
82,2023-10-29,0
83,2023-10-30,0
84,2023-10-31,0
85,2023-11-01,0
86,2023-11-02,0
87,2023-11-03,0
88,2023-11-04,0
89,2023-11-05,0
90,2023-11-06,0
91,2023-11-07,0
92,2023-11-08,0
93,2023-11-09,0
94,2023-11-10,8
95,2023-11-11,14
96,2023-11-12,15
97,2023-11-13,20
98,2023-11-14,54
99,2023-11-15,85
100,2023-11-16,79
101,2023-11-17,96
102,2023-11-18,56
103,2023-11-19,34
104,2023-11-20,75
105,2023-11-21,78
106,2023-11-22,49
107,2023-11-23,13
108,2023-11-24,14
109,2023-11-25,25
110,2023-11-26,6
111,2023-11-27,11
112,2023-11-28,285
113,2023-11-29,161
114,2023-11-30,309
115,2023-12-01,143
116,2023-12-02,44
117,2023-12-03,20
118,2023-12-04,81
119,2023-12-05,46
120,2023-12-06,27
121,2023-12-07,149
122,2023-12-08,35
123,2023-12-09,19
124,2023-12-10,12
125,2023-12-11,78
126,2023-12-12,28
127,2023-12-13,164
128,2023-12-14,23
129,2023-12-15,96
130,2023-12-16,37
131,2023-12-17,15
132,2023-12-18,24
133,2023-12-19,26
134,2023-12-20,20
135,2023-12-21,82
136,2023-12-22,17
137,2023-12-23,6
138,2023-12-24,4
139,2023-12-25,2
140,2023-12-26,39
141,2023-12-27,96
142,2023-12-28,46
143,2023-12-29,58
144,2023-12-30,11
145,2023-12-31,2
146,2024-01-01,6
147,2024-01-02,62
148,2024-01-03,43
149,2024-01-04,37
150,2024-01-05,52
151,2024-01-06,18
152,2024-01-07,8
153,2024-01-08,24
154,2024-01-09,27
155,2024-01-10,12
156,2024-01-11,33
157,2024-01-12,32
158,2024-01-13,14
159,2024-01-14,7
160,2024-01-15,50
161,2024-01-16,29
162,2024-01-17,19
163,2024-01-18,55
164,2024-01-19,23
165,2024-01-20,12
166,2024-01-21,12
167,2024-01-22,33
168,2024-01-23,9
169,2024-01-24,9
170,2024-01-25,12
171,2024-01-26,4
172,2024-01-27,9
173,2024-01-28,3
174,2024-01-29,40
175,2024-01-30,32
176,2024-01-31,33
177,2024-02-01,29
178,2024-02-02,26
179,2024-02-03,15
180,2024-02-04,25
181,2024-02-05,18
182,2024-02-06,16
183,2024-02-07,36
184,2024-02-08,13
185,2024-02-09,3
186,2024-02-10,0
187,2024-02-11,0
188,2024-02-12,2
189,2024-02-13,0
190,2024-02-14,1
191,2024-02-15,0
192,2024-02-16,1
193,2024-02-17,1
194,2024-02-18,0
195,2024-02-19,6
196,2024-02-20,15
197,2024-02-21,22
198,2024-02-22,22
199,2024-02-23,18
200,2024-02-24,18
201,2024-02-25,7
202,2024-02-26,7
203,2024-02-27,4
204,2024-02-28,11
205,2024-02-29,35
206,2024-03-01,1
207,2024-03-02,0
